,Protein,0mo_NPX,3mo_NPX,6mo_NPX,12mo_NPX,18mo_NPX,24mo_NPX,30mo_NPX,36mo_NPX,48mo_NPX,54mo_NPX,60mo_NPX
112,P09486,130379.0,159648.0,132080.5,126600.0,121893.5,131995.0,139908.0,127394.5,129895.0,188453.1,132885.0
113,P09871,257448.0,188838.0,260980.5,255915.5,297516.0,275664.0,332534.0,280317.5,269629.5,251017.0,262620.5
114,P10451,321211.0,328670.0,286764.5,309170.0,390910.0,340975.0,303459.0,313290.0,314173.0,517717.5,304217.0
115,P10643,96419.25,92620.4,96274.65,100434.0,121196.0,104177.5,136540.0,103717.0,103989.0,97629.4,100168.85
116,P10645,391947.5,410515.0,358031.5,352753.5,420923.5,355635.0,458699.0,353659.0,387853.0,482869.0,380872.0
117,P10909,7670795.0,8947980.0,7329525.0,7535725.0,7986560.0,7751270.0,6576270.0,7694060.0,7704280.0,9688785.0,7535815.0
118,P11142,67148.2,74728.8,66692.1,69201.7,71413.2,65976.2,79586.7,67714.45,65514.5,80090.2,67714.9
119,P11277,74916.4,61768.6,73327.1,73026.65,60198.25,71653.15,59607.0,78280.2,77160.5,64931.649999999994,69658.2
120,P12109,72044.2,59814.9,74476.0,67830.9,67151.35,71464.2,78030.2,69947.20000000001,68502.70000000001,58967.25,71934.9
121,P13473,121005.0,105144.0,115028.5,114029.0,104070.0,118852.0,103738.0,119914.0,123950.0,222029.5,117256.0
122,P13521,51360.1,49291.2,46922.95,45898.8,47739.399999999994,49290.5,57706.5,47085.1,48630.15,48207.55,43966.850000000006
123,P13591,173722.0,205561.0,170656.0,160097.0,173777.0,179113.0,103376.0,178935.0,166711.0,169127.75,158351.0
124,P13611,22511.7,25353.5,24835.8,23387.4,9701.81,22111.55,22862.6,22759.3,23655.8,31391.95,22799.5
125,P13671,8401.42,7958.965,8739.935000000001,8272.67,9733.04,8597.525000000001,10919.3,8719.18,8770.955,8704.955,8769.815
126,P13987,393258.5,394933.0,384233.0,362233.5,385312.0,389020.0,382712.0,374646.0,379103.0,626902.0,371359.5
127,P14174,24641.8,24080.7,24410.2,24315.0,25743.5,25684.2,26807.6,24079.1,25093.7,32575.699999999997,26250.75
128,P14314,31323.3,18550.8,30256.8,30073.2,36892.3,25045.5,15123.4,30837.95,29615.9,16323.9,30184.4
129,P14618,61005.4,56595.1,61742.1,57404.350000000006,58917.45,58666.1,64713.9,60318.7,59885.3,70342.65,57295.5
130,P16035,59449.9,62834.6,60588.649999999994,58594.3,62377.3,58309.8,67836.4,61639.7,58336.5,49214.85,60448.3
131,P16070,221350.0,293390.0,221999.5,221214.0,234969.5,221703.5,209854.0,225772.5,226313.5,325155.65,223463.5
132,P16152,117518.0,345332.0,189497.5,177077.5,38847.6,136174.5,225090.0,136706.0,162932.5,232734.0,116350.0
133,P16870,206360.0,214457.0,202782.0,191706.0,218570.0,203671.0,176216.0,201267.0,197403.0,251516.5,189173.0
134,P17174,23373.9,28620.8,24816.6,23655.3,21728.0,22634.4,16723.4,22628.55,23105.6,16204.285,23150.85
135,P17936,6989.13,6304.28,6745.53,7220.030000000001,9842.18,6990.889999999999,,7227.755,6786.56,15907.0,7337.17
136,P18065,274590.0,243513.0,254083.5,249477.5,281994.0,252523.0,355001.0,270020.5,264245.5,510521.0,270935.0
137,P19021,11585.4,12290.93,10519.95,11478.8,10956.0,10824.7,18999.9,10875.7,10978.65,16651.4,11509.599999999999
138,P19652,671981.0,951082.0,672870.0,660398.0,657051.0,635013.0,950302.0,674443.0,709473.0,736756.0,704042.0
139,P19823,107569.5,87980.0,110581.5,111349.5,139525.0,110489.0,202020.0,106376.5,111843.5,91815.15,109456.0
140,P19827,28582.8,18037.5,29013.25,27922.5,36094.1,26762.949999999997,37920.8,27718.75,28083.5,34928.4,30310.199999999997
141,P20774,363195.5,402708.0,364234.5,367973.0,290631.0,353401.0,282688.0,375517.0,353624.5,427581.0,372363.5
142,P20933,34390.2,30828.6,33226.3,32884.3,34979.2,33264.75,44332.6,34806.8,31025.6,38595.9,31536.8
143,P23083,32870.1,,33267.25,30599.4,34808.399999999994,31323.0,32934.0,33887.8,33715.65,68986.4,36660.85
144,P23142,1156125.0,1165770.0,1113940.0,1134040.0,953402.5,1152780.0,1069130.0,1128330.0,1155700.0,1511000.0,1149330.0
145,P24592,747295.0,716940.0,736487.0,753943.0,621438.5,799058.0,773259.0,807306.0,770780.0,1211386.5,786032.0
146,P25311,825814.0,750840.0,801160.0,832619.5,947431.0,820284.0,993641.0,820139.0,818764.0,1084215.5,821726.0
147,P27169,24118.199999999997,20029.75,24668.3,29144.4,28495.9,30107.75,12704.0,25785.6,25504.7,39142.97,28916.1
148,P30086,44186.9,53708.3,40322.9,35523.5,54395.15,44431.0,8882.52,42620.8,40971.8,42240.3,42832.45
149,P31997,550414.0,459209.0,532086.5,531249.0,556877.0,544270.0,597312.0,519189.5,548114.0,601868.0,518285.0
150,P35542,55114.8,43729.2,53219.4,54980.8,44564.7,54693.3,48285.9,55945.55,54320.5,56841.5,54224.2
151,P36222,301649.0,397293.0,289992.5,281988.5,338714.0,307837.0,316787.0,310025.0,326685.0,279367.0,323232.0
152,P36955,2007040.0,2217140.0,2101725.0,2099195.0,2117975.0,2110060.0,1560790.0,2167970.0,2063925.0,2361800.0,2122635.0
153,P36980,5966.65,5546.3,5792.92,5925.63,5961.915,5805.450000000001,2575.41,6101.43,6187.83,7078.325000000001,5974.775
154,P39060,44785.7,47536.6,44852.55,42912.899999999994,54714.0,45666.4,32404.5,44093.95,46056.7,44691.1,48645.45
155,P40925,27961.5,23567.3,28295.25,26080.15,28055.8,27127.3,33699.7,27651.550000000003,28625.15,21656.0,28364.2
156,P41222,41230100.0,37665900.0,40177700.0,38571000.0,38733450.0,41125800.0,29115400.0,39676300.0,39760850.0,64172050.0,41570200.0
157,P43121,43256.8,53019.8,41928.1,40652.5,43908.1,42037.4,52870.9,43955.85,42584.1,47984.399999999994,41613.899999999994
158,P43251,42804.4,38446.1,41880.1,41094.25,41205.4,42602.9,40179.5,42442.3,42468.600000000006,36436.05,45378.1
159,P43652,353430.5,397044.0,341842.5,347628.0,327152.0,353113.5,383891.0,345491.5,338193.0,479276.5,359431.5
160,P49588,9500.48,11284.96,8896.22,9261.810000000001,9818.775000000001,9213.935000000001,6614.26,10330.8,8959.79,10762.7,8757.16
161,P49908,20338.8,18568.5,19629.449999999997,19599.7,22025.9,20754.1,22547.5,20650.2,20295.2,27510.5,20084.2
162,P51884,256988.5,295650.0,253399.5,245053.0,275094.5,256139.0,307195.0,262657.0,257304.5,386439.0,248999.0
163,P54289,38310.4,43034.5,36485.3,37376.1,29761.2,40763.3,40839.4,32716.350000000002,37715.2,42814.4,38697.6
164,P55290,35046.25,30949.1,30632.2,30913.5,29035.65,32853.649999999994,33357.1,32317.2,32853.850000000006,46419.15,32783.1
165,P61278,5680.219999999999,4808.2,5662.24,6066.37,5551.700000000001,5761.674999999999,1692.04,4522.86,5435.89,7476.7545,5301.32
166,P61626,13761.2,11427.3,12957.25,12909.35,14197.0,13387.55,15384.0,15224.0,13818.150000000001,15118.5,14460.1
167,P61769,324198.0,308949.0,306157.0,288505.0,305306.0,321534.0,121678.0,317698.0,305863.5,524778.5,299241.5
168,P61916,242510.0,268565.0,236239.5,228691.0,228267.0,233738.0,231110.0,237049.0,230566.5,348713.0,223031.0
169,P80748,33764.7,24240.2,32855.25,32020.85,31004.25,33168.7,32649.5,33476.8,32943.05,47313.65,33191.3
170,P98160,8869.654999999999,2739.39,8806.0,8936.33,3108.39,8196.74,11133.2,7596.31,8707.435000000001,11831.539999999999,8527.314999999999
171,Q02818,18857.7,18958.35,18144.4,18147.7,22755.7,18376.6,,18129.65,18358.7,35200.9,17971.25
172,Q06481,24251.4,23379.4,23040.7,21982.8,17307.55,20888.25,24247.1,22824.75,23883.0,25134.735,22472.6
173,Q08380,205834.5,202490.0,198349.5,197255.5,203338.5,197996.0,224782.0,198328.0,202356.5,251922.5,196256.0
174,Q12805,950365.5,1190670.0,934766.0,891597.0,1005573.5,958534.0,1018860.0,987117.0,986194.5,1428024.0,952499.5
175,Q12841,23804.9,25893.7,22963.25,23313.7,20857.550000000003,23095.0,28667.4,23874.1,23384.6,33166.6,23960.05
176,Q12907,37646.100000000006,43080.3,36017.2,34690.75,34328.4,37530.9,40750.3,35346.2,36231.3,32468.850000000002,37410.55
177,Q13283,568708.0,483177.0,553539.0,573351.0,598908.0,571150.0,757761.0,566930.0,556876.0,571991.5,511607.0
178,Q13332,18955.95,15201.9,17744.0,17275.9,20006.699999999997,17845.5,20730.2,17662.7,18225.7,37328.0,18596.6
179,Q13451,2911840.0,3216180.0,2890490.0,2947370.0,3327225.0,2939880.0,3346840.0,2924750.0,2874050.0,2994225.0,2862100.0
180,Q13740,19918.1,25393.9,20947.3,20647.4,21085.3,21592.9,26598.7,19616.0,21118.8,16406.175,21829.2
181,Q14118,151304.0,162442.0,145781.0,150080.5,146885.0,152185.0,171256.0,156021.0,152384.0,207944.0,155287.0
182,Q14508,5929.545,3544.05,5500.645,5464.92,4483.16,5507.83,5040.0,5459.37,5637.15,9631.285,5087.89
183,Q14515,380965.0,487661.0,367943.0,372642.5,318533.0,380746.0,373087.0,372849.5,384692.5,343504.0,378736.0
184,Q14624,135361.0,98084.3,135846.5,132290.0,138062.5,139039.0,188785.0,135497.5,135108.0,174422.5,131656.5
185,Q15904,37836.1,35206.9,35971.7,36931.95,44408.3,36138.7,25449.8,32333.050000000003,36094.25,34602.4,35129.4
186,Q16270,857656.0,934450.0,831877.0,847274.0,665342.5,847839.0,813920.0,867508.0,833339.5,1546242.5,831900.5
187,Q16610,170167.0,197891.0,170819.5,162839.0,179993.5,172222.0,75504.6,172214.0,166396.5,214299.5,173011.5
188,Q562R1,17810.5,13882.199999999999,17381.6,16627.0,18630.5,17466.0,25001.5,18652.9,17556.6,10895.7,16811.9
189,Q6UX71,12434.6,11021.25,12671.2,11976.2,11292.7,13253.7,,11348.5,12801.1,17673.454999999998,12302.9
190,Q6UXB8,41882.399999999994,52378.9,41642.75,43184.9,38910.6,39687.1,31428.3,42435.95,44007.7,58309.7,43198.8
191,Q6UXD5,29779.0,31563.7,28591.0,29552.0,28341.449999999997,30956.6,,27819.6,31310.6,28781.9,30112.3
192,Q7Z3B1,76700.0,52823.2,71332.7,67827.5,76598.55,74495.9,55079.5,73376.9,77256.6,122020.95,69385.05
193,Q7Z5P9,466980.0,492965.0,489311.0,499152.5,425227.5,477898.0,499992.0,495386.0,493433.0,543470.0,475947.5
194,Q8IWV7,89109.5,121948.0,87617.79999999999,90846.95000000001,105152.0,91707.7,171027.0,105354.5,110399.0,106224.5,93917.4
195,Q8N2S1,6719.265,7899.3,6565.0650000000005,6807.72,6538.49,6660.18,,6565.445,6700.86,9590.005000000001,6745.41
196,Q8NBJ4,23485.949999999997,26659.8,21944.7,23641.4,22066.85,23455.35,20234.9,22826.3,23660.2,33526.3,22822.3
197,Q8NE71,18247.85,22113.6,18285.1,15450.2,17759.7,17533.7,7871.69,16714.1,16989.1,27296.5,16896.35
198,Q92520,635670.5,595890.0,624752.0,584208.5,663380.0,627817.0,646598.0,608257.0,620267.0,988903.5,595395.0
199,Q92823,153217.5,149340.0,150039.0,144535.5,143627.0,146802.0,138695.0,149475.0,144941.5,135478.75,141639.0
200,Q92876,1065415.0,1047020.0,1024805.0,1021090.0,1118660.0,1035300.0,794166.0,1052530.0,1044655.0,1441469.5,1062620.0
201,Q96BZ4,9117.205,6283.41,8541.935000000001,8535.31,7082.71,9467.0,,8897.24,9055.98,19930.0,8751.08
202,Q96KN2,620023.5,584208.0,622558.5,607910.5,661685.0,639514.0,405783.0,583586.5,615352.5,402454.0,599299.0
203,Q96PD5,98529.75,95513.6,99275.15,98366.2,106179.0,96881.9,102378.0,100945.0,97095.4,104818.2,97200.4
204,Q96S96,34027.55,31438.6,35047.55,30658.3,32527.9,31260.85,,32148.15,31357.15,64299.4,33317.1
205,Q99435,2237.66,1708.4355,2147.47,2000.325,1567.42,2161.43,1615.93,1977.4,1954.26,1894.4945,2022.92
206,Q99674,21647.1,23110.4,21394.8,21326.4,22029.300000000003,21559.3,19381.4,21086.3,21267.35,30452.05,21337.7
207,Q99832,42614.05,38169.5,39651.0,39705.9,41819.6,40643.35,40259.8,40100.7,41758.4,45111.9,38603.0
208,Q99969,12326.75,14385.8,12391.349999999999,12300.6,15504.7,12700.3,7563.22,12344.0,12097.2,25255.1,12007.2
209,Q9BY67,27540.2,29274.9,25734.0,25351.9,26578.7,26728.35,32583.6,25703.85,27290.9,40593.05,25760.7
210,Q9HDC9,265258.5,305415.0,262330.0,262292.5,269702.0,257143.5,446566.0,284221.5,279546.5,361463.0,275628.0
211,Q9NQ79,33849.1,14940.7,33180.65,32992.65,33533.9,34619.6,34620.7,33737.2,34690.45,9224.51,35553.45
212,Q9NYU2,109129.5,106215.0,112183.5,108455.0,143549.0,110841.0,148973.0,108308.0,110736.0,135397.0,116151.0
213,Q9UBR2,15011.8,15364.2,15477.2,14611.55,18697.25,15408.8,17857.0,14854.0,15188.5,16163.150000000001,13942.9
214,Q9UBX5,35181.9,37001.2,34396.1,34461.55,37775.0,34939.0,38473.9,36572.5,35102.25,32108.6,35341.55
215,Q9UHG2,223533.0,197082.0,214486.0,204259.5,257908.5,218226.0,176611.0,212117.0,221822.0,378324.0,204471.5
216,Q9UNU6,20125.1,35530.2,19567.050000000003,19151.550000000003,25337.9,19447.1,13369.9,18864.5,17969.95,12189.8,17722.5
217,Q9Y646,19501.0,17944.0,19516.0,19141.9,24662.3,19282.2,13182.8,19770.9,20107.35,19351.9,19946.55
218,Q9Y6R7,17662.3,28001.4,18224.3,19076.15,23655.6,19875.9,15390.7,19811.3,21245.65,35099.3,18154.4
219,P01594,12505.05,19374.9,11798.3,12990.5,13228.3,12262.75,15120.7,12976.85,12637.25,9124.3,13106.7
220,P02792,16164.8,17666.2,15823.05,15886.7,21956.15,15867.2,17470.8,16080.2,15589.4,17138.2,16732.0
221,P32754,65700.5,74421.5,68307.0,71535.45,87571.4,65819.2,64826.6,68240.2,68464.4,101742.0,65328.0
222,P60174,15132.45,18506.5,15147.2,14744.6,14282.6,15625.6,15334.7,14407.9,15142.4,,13998.7
223,Q13449,28445.1,20062.949999999997,27203.6,23890.2,31850.4,25838.050000000003,18405.2,25113.85,25085.6,43731.049999999996,23985.4
224,Q99683,99488.5,109375.2,99451.25,98918.45000000001,112491.5,103043.0,111800.0,99494.15,105991.0,92596.9,100258.0
225,Q99829,14624.900000000001,12973.4,14113.7,13809.1,19092.7,16332.8,12727.1,13833.25,14405.7,24383.6,14211.6
226,Q9UKV8,68121.4,103992.0,70462.95,66724.8,63570.0,65029.0,96401.4,67530.0,65102.6,80706.25,65115.95
